profile_label,n,mean_engagement,median_engagement,std_engagement,mean_participation,mean_quiz_score_pct,mean_ese_pct,pct
Low,2154,4.9656178272980505,0.0,11.409845107687437,2.7169906220984212,8.338556313834726,66.18578922934076,11.73
Medium,879,50.69038521046644,51.5556,5.434362711257237,34.881577474402725,74.40359635949943,70.22424345847554,4.79
High,15330,90.51698619699935,93.3333,8.403137820013146,96.23168335942596,81.94493911937377,73.17893868232224,83.48
