group,n,mean,median,std,q1,q3,iqr,min,max
Low,2154,66.1858,67.5,15.2821,56.0,75.71,19.71,5.0,100.0
Medium,879,70.2242,72.0,13.5012,62.5,79.165,16.665,11.67,100.0
High,15330,73.1789,72.5,15.6511,62.5,86.5025,24.0025,10.0,100.0
