trajectory_label,n,mean_avg_score,mean_slope,median_slope,pct,mean_ese_pct
Steady High Performer,11625,85.41614555698925,-0.7167176868817204,-0.571429,77.09,73.91055565202292
Stable Average,418,51.22878205741627,-1.074003899521531,-1.142857,2.77,67.276525198939
Improver,1431,75.95690503144654,9.540113194269741,7.428571,9.49,68.0648740100792
Decliner,1470,68.39988959183674,-10.408721272108844,-8.571429,9.75,76.3311875
Consistently Struggling,135,28.639403703703703,-0.9334276814814815,-1.0,0.9,65.01842105263158
