student_id,course_id,programme_level,Group,course_name,course_code,quizzes_attempted,max_quizzes_in_course,participation_rate,avg_quiz_score_pct,engagement_score,profile_label,ese_percentage,quiz_count,avg_score,slope,r_squared,trajectory_label,trajectory_eligible
16294,4607,UG,BCA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,80.0,6.0,70.0,4.0,0.1273,Steady High Performer,True
16360,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,90.0,6.0,76.6667,-9.714286,0.1982,Decliner,True
16362,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,53.33,6.0,90.0,1.714286,0.0367,Steady High Performer,True
16519,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,0,6.0,0.0,0.0,0.0,Low,83.33,,,,,,False
16648,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,36.67,6.0,76.6667,-1.714286,0.0454,Steady High Performer,True
16676,4606,UG,BA,2023 Batch - Skill Enhancement Course: Skill Based - Artificial Intelligence,21SBC4T231,6,6.0,100.0,76.6667,90.6667,High,66.67,6.0,76.6667,-2.857143,0.0739,Steady High Performer,True
16676,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,46.67,6.0,93.3333,1.142857,0.0429,Steady High Performer,True
16694,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,56.67,6.0,83.3333,0.571429,0.0171,Steady High Performer,True
16720,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,73.33,6.0,70.0,2.857143,0.0649,Steady High Performer,True
16848,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,80.0,92.0,High,63.33,6.0,80.0,2.285714,0.1143,Steady High Performer,True
16917,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,63.33,6.0,86.6667,3.428571,0.3857,Steady High Performer,True
16959,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,0,6.0,0.0,0.0,0.0,Low,70.0,,,,,,False
17095,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,70.0,6.0,90.0,2.857143,0.2381,Steady High Performer,True
17180,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,53.33,6.0,83.3333,6.285714,0.6101,Improver,True
17299,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,60.0,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19295,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,73.3333,89.3333,High,46.67,6.0,73.3333,10.285714,0.6312,Improver,True
19296,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,70.0,6.0,90.0,-2.857143,0.2381,Steady High Performer,True
19297,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,66.67,6.0,86.6667,1.142857,0.0429,Steady High Performer,True
19298,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,73.33,6.0,93.3333,0.0,0.0,Steady High Performer,True
19299,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,43.33,6.0,93.3333,0.0,0.0,Steady High Performer,True
19300,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,70.0,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19301,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,63.33,6.0,96.6667,-0.571429,0.0171,Steady High Performer,True
19302,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,60.0,6.0,93.3333,1.142857,0.0429,Steady High Performer,True
19303,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,76.67,6.0,90.0,2.857143,0.2381,Steady High Performer,True
19304,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,70.0,6.0,90.0,2.857143,0.2381,Steady High Performer,True
19305,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,50.0,6.0,90.0,4.0,0.2,Steady High Performer,True
19306,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,60.0,6.0,86.6667,-6.857143,0.6171,Decliner,True
19307,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,60.0,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19308,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,60.0,6.0,90.0,-0.571429,0.0095,Steady High Performer,True
19309,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,36.67,6.0,76.6667,5.142857,0.4084,Improver,True
19310,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,70.0,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19311,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,53.33,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19312,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,83.33,6.0,70.0,5.142857,0.3306,Improver,True
19313,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,56.67,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19314,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,66.67,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19315,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,70.0,6.0,86.6667,4.571429,0.2743,Steady High Performer,True
19316,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,36.67,6.0,93.3333,1.142857,0.0429,Steady High Performer,True
19317,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,63.33,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19318,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,63.33,6.0,86.6667,1.142857,0.0171,Steady High Performer,True
19319,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,73.33,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19320,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,56.67,6.0,86.6667,4.571429,0.2743,Steady High Performer,True
19321,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,63.3333,85.3333,High,63.33,6.0,63.3333,10.857143,0.476,Improver,True
19322,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,66.67,6.0,96.6667,-1.714286,0.1543,Steady High Performer,True
19323,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,46.67,6.0,86.6667,3.428571,0.3857,Steady High Performer,True
19324,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,60.0,6.0,83.3333,4.0,0.2471,Steady High Performer,True
19325,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,56.6667,82.6667,High,36.67,6.0,56.6667,-1.714286,0.0454,Stable Average,True
