student_id,course_id,programme_level,Group,course_name,course_code,quizzes_attempted,max_quizzes_in_course,participation_rate,avg_quiz_score_pct,engagement_score,profile_label,ese_percentage
13608,4607,UG,BCA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,80.0
13863,4607,UG,BCA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,70.0
14000,4188,UG,BBA,Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,62.22
14060,4188,UG,BBA,Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,66.67
14098,4607,UG,BBA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,36.67
14116,4607,UG,BBA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,66.67
14265,4607,UG,BBA [Aviation Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,46.67
14289,4188,UG,BBA [Aviation Management],Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,64.44
14291,4188,UG,BBA [Aviation Management],Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,8.89
14296,4188,UG,BBA [Aviation Management],Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,55.56
14306,4607,UG,BBA [Aviation Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,80.0,92.0,High,53.33
14329,4188,UG,BBA [Aviation Management],Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,66.67
14370,4607,UG,BBA [Aviation Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,53.33
14413,4188,UG,BBA [Business Analytics],Information Storage Management and Practices,21CSC3T311,0,8.0,0.0,0.0,0.0,Low,80.0
14413,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,40.0
14444,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,86.67
14461,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,43.33
14479,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,56.67
14487,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,56.67
14834,4607,UG,BCom,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,60.0
14868,4607,UG,BCom,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,50.0
14876,4607,UG,BCom,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,76.67
15094,4607,UG,BCom [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,76.67
15236,4607,UG,BCom [Logistics and Supply Chain Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,33.3333,73.3333,High,50.0
15257,4607,UG,BCom [Logistics and Supply Chain Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,50.0
15278,4607,UG,BCom [Logistics and Supply Chain Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,63.33
15281,4607,UG,BCom [Logistics and Supply Chain Management],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,73.33
15337,4607,UG,BCom,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,83.33
15350,4607,UG,BCom,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,63.33
15402,4607,UG,BCom [Tourism],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,60.0,84.0,High,60.0
16294,4607,UG,BCA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,80.0
16360,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,90.0
16362,4607,UG,BBA [Business Analytics],2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,53.33
16519,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,0,6.0,0.0,0.0,0.0,Low,83.33
16648,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,36.67
16676,4606,UG,BA,2023 Batch - Skill Enhancement Course: Skill Based - Artificial Intelligence,21SBC4T231,6,6.0,100.0,76.6667,90.6667,High,66.67
16676,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,46.67
16694,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,56.67
16720,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,73.33
16848,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,80.0,92.0,High,63.33
16917,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,63.33
16959,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,0,6.0,0.0,0.0,0.0,Low,70.0
17095,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,70.0
17180,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,83.3333,93.3333,High,53.33
17299,4607,UG,BSc,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,60.0
19295,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,73.3333,89.3333,High,46.67
19296,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,70.0
19297,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,66.67
19298,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,73.33
19299,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,43.33
19300,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,70.0
19301,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,63.33
19302,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,93.3333,97.3333,High,60.0
19303,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,76.67
19304,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,70.0
19305,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,50.0
19306,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,60.0
19307,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,60.0
19308,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,90.0,96.0,High,60.0
19309,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,76.6667,90.6667,High,36.67
19310,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,70.0
19311,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,53.33
19312,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,70.0,88.0,High,83.33
19313,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,56.67
19314,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,96.6667,98.6667,High,66.67
19315,4607,UG,BA,2022 Batch - Skill Enhancement Course: Skill Based - Cyber Security,21SBC4T251,6,6.0,100.0,86.6667,94.6667,High,70.0
